make,logo_url
Acura,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Acura_logo.svg/500px-Acura_logo.svg.png
Alfa Romeo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Alfa_Romeo.png/500px-Alfa_Romeo.png
Aston Martin,https://autoimg.danawa.com/photo/brand/617_90.png
Audi,https://autoimg.danawa.com/photo/brand/371_90.png
Bentley,https://autoimg.danawa.com/photo/brand/390_90.png
BMW,https://autoimg.danawa.com/photo/brand/362_90.png
Bugatti,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Bugatti_logo.svg/500px-Bugatti_logo.svg.png
Buick,https://upload.wikimedia.org/wikipedia/en/thumb/2/2f/Buick_logo_2023.svg/500px-Buick_logo_2023.svg.png
BYD,https://autoimg.danawa.com/photo/brand/380_90.png
Cadillac,https://autoimg.danawa.com/photo/brand/546_90.png
Chevrolet,https://autoimg.danawa.com/photo/brand/312_90.png
Chrysler,https://www.carlogos.org/car-logos/chrysler-logo-2009-640.png
Daewoo,https://autoimg.danawa.com/photo/brand/326_90.png
Dodge,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/New_Dodge.png/500px-New_Dodge.png
Ferrari,https://autoimg.danawa.com/photo/brand/436_90.png
Fiat,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/FIAT_logo_coloured.svg/250px-FIAT_logo_coloured.svg.png
Ford,https://autoimg.danawa.com/photo/brand/569_90.png
General Motors,https://upload.wikimedia.org/wikipedia/en/thumb/e/ea/General_Motors_%28logo_with_wordmark%2C_horizontal%29.svg/500px-General_Motors_%28logo_with_wordmark%2C_horizontal%29.svg.png
Genesis,https://autoimg.danawa.com/photo/brand/304_90.png
GMC,https://autoimg.danawa.com/photo/brand/602_90.png
Honda,https://autoimg.danawa.com/photo/brand/500_90.png
Hyundai,https://autoimg.danawa.com/photo/brand/303_90.png
Infiniti,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Infiniti_logo_2023.svg/500px-Infiniti_logo_2023.svg.png
Jaguar,https://autoimg.danawa.com/photo/brand/622_90.png
Jeep,https://autoimg.danawa.com/photo/brand/587_90.png
Kia,https://autoimg.danawa.com/photo/brand/307_90.png
Lamborghini,https://autoimg.danawa.com/photo/brand/440_90.png
Land Rover,https://autoimg.danawa.com/photo/brand/399_90.png
Lexus,https://autoimg.danawa.com/photo/brand/486_90.png
Lincoln,https://autoimg.danawa.com/photo/brand/573_90.png
Lotus,https://autoimg.danawa.com/photo/brand/408_90.png
Lucid,https://autoimg.danawa.com/photo/brand/616_90.png
Maserati,https://autoimg.danawa.com/photo/brand/445_90.png
Maybach,https://upload.wikimedia.org/wikipedia/en/e/e7/Maybach_%28logo%29.png
Mazda,https://upload.wikimedia.org/wikipedia/en/thumb/1/18/Mazda_logo_with_emblem.svg/250px-Mazda_logo_with_emblem.svg.png
McLaren Automotive,https://autoimg.danawa.com/photo/brand/614_90.png
Mercedes-Benz,https://autoimg.danawa.com/photo/brand/349_90.png
Mercury,https://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Mercury_Logo_%28automobile_company%29.svg/300px-Mercury_Logo_%28automobile_company%29.svg.png
MINI,https://autoimg.danawa.com/photo/brand/367_90.png
Mitsubishi,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Mitsubishi_logo.svg/330px-Mitsubishi_logo.svg.png
Nissan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bb/Nissan_Motor_Corporation_2020_logo-local_file.svg/375px-Nissan_Motor_Corporation_2020_logo-local_file.svg.png
Peugeot,https://autoimg.danawa.com/photo/brand/413_90.png
Polestar,https://autoimg.danawa.com/photo/brand/458_90.png
Porsche,https://autoimg.danawa.com/photo/brand/381_90.png
Ram,https://upload.wikimedia.org/wikipedia/en/e/e8/Ramchryslerlogo.png
Renault,https://autoimg.danawa.com/photo/brand/321_90.png
Rivian,https://autoimg.danawa.com/photo/brand/404_90.png
Rolls-Royce,https://autoimg.danawa.com/photo/brand/385_90.png
Scion,https://upload.wikimedia.org/wikipedia/en/thumb/e/e7/Scion_logo.svg/375px-Scion_logo.svg.png
Subaru,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Subaru_logo_%28transparent%29.svg/500px-Subaru_logo_%28transparent%29.svg.png
Suzuki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Suzuki_logo_2025.svg/330px-Suzuki_logo_2025.svg.png
Tesla,https://autoimg.danawa.com/photo/brand/611_90.png
Toyota,https://autoimg.danawa.com/photo/brand/491_90.png
Vinfast,https://autoimg.danawa.com/photo/brand/468_90.png
Volkswagen,https://autoimg.danawa.com/photo/brand/376_90.png
Volvo,https://autoimg.danawa.com/photo/brand/459_90.png